ncm;trib
84328000;ii
84329000;ii
84322100;ii
84331100;ii
84331900;ii
84332010;ii
84332090;ii
84333000;ii
84334000;ii
84335100;ii
84335200;ii
84335300;ii
84335911;ii
84335919;ii
84335990;ii
84336010;ii
84336021;ii
84336029;ii
84336090;ii
84339090;ii
84678900;ii
84678900;ii
84672999;ii
84341000;ii
84361000;ii
84362100;ii
84362900;ii
84368000;ii
84369100;ii
84369900;ii
84678100;ii
85269100;ii
87011000;ii
87019100;ii
87019200;ii
87019300;ii
87019490;ii
87019590;ii
84138100;ii
87162000;ii
87168000;ii
88022010;ii
88023010;ii
88031000;ii
88032000;ii
88033000;ii
88039000;ii
90278014;ii
94060010;ii
3917;st
4009;st
6813;st
7320;st
7325;st
8482;st
8483;st
8484;st
8511;st
8518;st
851981;st
8538;st
8707;st
8708;st
9029;st
40103;st
63061;st
84073;st
84099;st
84122;st
84219;st
84812;st
85272;st
85364;st
85365;st
85392;st
87141;st
780600;st
830120;st
830160;st
830170;st
831000;st
840820;st
841330;st
841520;st
841950;st
850520;st
850720;st
850730;st
851220;st
851240;st
851290;st
853530;st
853530;st
853910;st
902610;st
902620;st
902690;st
4823909;st
8414801;st
8414802;st
8414903;st
8431492;st
8525501;st
8536;st
9032892;st
9032898;st
9032899;st
38151210;st
38151290;st
39181000;st
39191000;st
39199000;st
39233000;st
39263000;st
40081100;st
40161010;st
40169300;st
40169100;st
45049000;st
48234000;st
49111010;st
56012219;st
57032000;st
57033000;st
57050000;st
59039000;st
59090000;st
59100000;st
59119000;st
65061000;st
68129910;st
69039099;st
70071100;st
70072100;st
70072900;st
70091000;st
70140000;st
73110000;st
73145000;st
73151100;st
73151210;st
80070090;st
83021000;st
83023000;st
84123110;st
84131900;st
84135090;st
84136019;st
84137010;st
84138100;st
84139190;st
84141000;st
84145910;st
84145990;st
84149010;st
84149039;st
84189900;st
84212300;st
84212990;st
84213100;st
84213920;st
84213990;st
84241000;st
84249090;st
84254200;st
84254910;st
84311010;st
84314100;st
84339090;st
84811000;st
84818092;st
85011019;st
85013110;st
85016100;st
85045000;st
85071000;st
85123000;st
85171213;st
85256010;st
85291090;st
85311090;st
85340000;st
85361000;st
85362000;st
85442000;st
85443000;st
87082999;st
87169090;st
90141000;st
90251990;st
90259010;st
90271000;st
90303321;st
90318040;st
90321010;st
90321090;st
90322000;st
91040000;st
94012000;st
94019090;st
96138000;st
32149000;st
3816001;st
38245000;st
391000;st
2522;st
7608;st
3916;st
3917;st
3918;st
3919;st
3919;st
3920;st
3921;st
3921;st
3921;st
3921;st
3922;st
4814;st
6811;st
7310;st
6904;st
6905;st
6907;st
6907;st
6910;st
7003;st
7004;st
7005;st
7008;st
7009;st
7016;st
7213;st
7307;st
7312;st
7314;st
7318;st
7324;st
7326;st
7407;st
7412;st
7415;st
7610;st
7616;st
8301;st
8307;st
8311;st
8481;st
39251000;st
39251000;st
39252000;st
39253000;st
392590;st
392590;st
392690;st
68101900;st
69060000;st
70071900;st
70072900;st
72142000;st
72142000;st
72171090;st
72172010;st
72172090;st
73083000;st
73084000;st
73084000;st
